역번호,역사명,노선번호,노선명,영문역사명,한자역사명,환승역구분,환승노선번호,환승노선명,역위도,역경도,운영기관명,역사도로명주소,역사전화번호,데이터기준일자
S112,4.19민주묘지,L11UI,우이신설선,April 19th National Cemetery,四一九民主墓地,일반역,,,37.64954,127.01371,우이신설경전철운영㈜,서울특별시 강북구 삼양로 519,-,2022-05-25
1907,가능역,I4102,경원선,Ganeung,佳 陵,일반역,,,37.748362,127.044251,한국철도공사,경기도 의정부시 평화로 633,1588-7788,2025-04-08
0350,가락시장,I1103,3호선,Garak Market,可樂市長,환승역,S1108,수도권  도시철도 8호선,37.492318,127.1177,서울교통공사,서울특별시 송파구 송파대로 지하257(가락동),02-6110-3501,2024-12-31
0817,가락시장,S1108,8호선,Garak Market,可樂市長,환승역,I1103,수도권  광역철도 3호선,37.493004,127.118279,서울교통공사,서울특별시 송파구 송파대로 지하257(가락동),02-6311-8171,2024-12-31
1702,가산디지털단지역,I4101,경부선,Gasan Digital Complex,加山디지털團地,환승역,S1107,수도권 도시철도 7호선,37.481568,126.882628,한국철도공사,서울시 금천구 벚꽃로 309,1588-7788,2025-04-08
0746,가산디지털단지,S1107,7호선,Gasan Digital Complex,加山디지털團地,환승역,I4101,수도권  광역철도 1호선,37.480376,126.882704,서울교통공사,서울특별시 금천구 벚꽃로 309(가산동),02-6311-7461,2024-12-31
0221,가야,S2602,부산 도시철도 2호선,Gaya,伽倻,일반역,,,35.15589,129.04283,부산광역시 부산교통공사,부산광역시 부산진구 가야대로 지하 650,051-678-6221,2022-11-30
0021,가야대,L48B1,부산김해경전철,Kaya Univ.,加耶大,일반역,,,35.26672721,128.8650703,부산-김해경전철㈜,경상남도 김해시 해반천로 211,055-310-9621,2022-04-27
4107,가양,S1109,서울 도시철도 9호선,Gayang,加陽,일반역,,,37.561111,126.855078,서울특별시 서울시메트로9호선㈜,서울특별시 강서구 양천로 지하485,02-2656-0907,2024-02-29
S113,가오리,L11UI,우이신설선,Gaori,加五里,일반역,,,37.64162,127.01681,우이신설경전철운영㈜,서울특별시 강북구 삼양로 426,-,2022-05-25
3216,가재울,S2802,인천지하철 2호선,Gajaeul,伽岾溪,일반역,-,-,37.484152,126.683883,인천교통공사,인천광역시 서구 열우물로 252 (가좌동),032-451-4316,2022-04-30
3211,가정(루원시티),S2802,인천지하철 2호선,Gajeong,佳亭,일반역,-,-,37.524805,126.675387,인천교통공사,인천광역시 서구 봉오대로 234 (가정동),032-451-4311,2022-04-30
3212,가정중앙시장,S2802,인천지하철 2호선,Gajeong Jungang Market,佳亭中央市場,일반역,-,-,37.517511,126.676784,인천교통공사,인천광역시 서구 가남로 400 (가정동),032-451-4312,2022-04-30
1265,가좌역,I4108,경의중앙선,Gajwa,加 佐,일반역,,,37.568611,126.914841,한국철도공사,서울시 서대문구 수색로 27(남가좌동),1588-7788,2025-04-08
1851,가천대역,I4105,분당선,Gachon Univ.,嘉泉大,일반역,,,37.448784,127.126677,한국철도공사,경기도 성남시 수정구 성남대로 1332,1588-7788,2025-04-08
1323,가평역,I41K2,경춘선,Gapyeong,加 平,일반역,,,37.814515,127.510693,한국철도공사,경기도 가평군 가평읍 문화로 13-42(달전리 567),1588-7788,2025-04-08
0145,각산,S2701,대구 도시철도 1호선,Gaksan,角山,일반역,,,35.867852,128.723843,대구교통공사,동구 안심로 지하363 (신서동),053-963-7754,2025-03-31
1816,간석역,I1101,경인선,Ganseok,間 石,일반역,,,37.464689,126.693408,한국철도공사,인천시 남동구 석정로 522-14,1588-7788,2025-04-08
3123,간석오거리,S2801,인천지하철 1호선,Ganseogogeori,間石五거리,일반역,-,-,37.466921,126.707861,인천교통공사,인천광역시 남동구 경인로 674,032-434-3123,2022-04-30
0113,갈마,S3001,대전 도시철도 1호선,Galma,葛馬,일반역,,,36.357522,127.372632,대전교통공사,대전광역시 서구 한밭대로 지하 666(갈마동),042-539-3613,2022-05-09
1312,갈매역,I41K2,경춘선,Galmae,葛 梅,일반역,,,37.634135,127.114803,한국철도공사,경기도 구리시 갈매동 경춘북로 229(갈매동 502-18),1588-7788,2025-04-08
3117,갈산,S2801,인천지하철 1호선,Galsan,葛山,일반역,-,-,37.517124,126.721566,인천교통공사,인천광역시 부평구 부평대로 286,032-511-4245,2022-04-30
0225,감삼,S2702,대구 도시철도 2호선,Gamsam,甘三,일반역,,,35.8543251,128.547905,대구교통공사,달서구 달구벌대로 지하1665 (감삼동),053-552-2856,2025-03-31
0226,감전,S2602,부산 도시철도 2호선,Gamjeon,甘田,일반역,,,35.15553,128.99114,부산광역시 부산교통공사,부산광역시 사상구 사상로 지하 93-1,051-678-6226,2022-11-30
0115,갑천,S3001,대전 도시철도 1호선,Gapcheon,甲川,일반역,,,36.354578,127.354467,대전교통공사,대전광역시 서구 갑천도시고속도로 지하 1833(월평동),042-539-3615,2022-05-09
0222,강남,S1102,2호선,Gangnam,江南,환승역,I41D1,수도권  광역철도 신분당선,37.49805,127.02795,서울교통공사,서울특별시 강남구 강남대로 지하396(역삼동),02-6110-2221,2024-12-31
D007,강남,I11D1,신분당선,Gangnam,江南,환승역,I11D1,수도권 광역철도 신분당선,37.49738544,127.0278789,경기도 신분당선,서울특별시 강남구 강남대로 지하 396,02) 810-5840,2025-09-30
0730,강남구청,S1107,7호선,Gangnam-gu Office,江南區廳,환승역,I41K1,수도권  광역철도 분당,37.517185,127.04122,서울교통공사,서울특별시 강남구 학동로 지하346(삼성동),02-6311-7301,2024-12-31
1849,강남구청역,I4105,분당선,Gangnam-Gu Office,江南區廳,환승역,S1107,수도권 도시철도 7호선,37.516572,127.041575,한국철도공사,서울시 강남구 학동로 지하 364,1588-7788,2025-04-08
Y111,강남대,L41E1,에버라인,Kangnam Univ.,江南大 ,일반역,L41E1,수도권  경량도시철도 에버라인,37.27017073,127.1260669,경기도 용인경전철,경기도 용인시 기흥구 중부대로 578,031-329-3542,2025-03-25
0548,강동,S1105,5호선,Gangdong,江東,일반역,,,37.53581,127.13249,서울교통공사,서울특별시 강동구 천호대로 지하1097(천호동),02-6311-5481,2024-12-31
0812,강동구청,S1108,8호선,Gangdong-gu Office,江東區廳,일반역,,,37.530348,127.120461,서울교통공사,서울특별시 강동구 올림픽로 지하550(성내동),02-6311-8121,2024-12-31
1269,강매역,I4108,경의중앙선,Gangmae,江 梅,일반역,,,37.612396,126.844537,한국철도공사,경기도 고양시 덕양구 소원로 202,1588-7788,2025-04-08
0214,강변(동서울터미널),S1102,2호선,Gangbyeon (Dongseoul Bus Terminal),江邊(東서울터미널),일반역,,,37.535161,127.094684,서울교통공사,서울특별시 광진구 강변역로 53(구의동),02-6110-2141,2024-12-31
0315,강서구청,S2603,부산 도시철도 3호선,Gangseo-gu Office,江西區廳,일반역,,,35.21125,128.98175,부산광역시 부산교통공사,부산광역시 강서구 낙동북로 485,051-678-6315,2022-11-30
0554,강일,S1105,5호선,Gangil,江一,일반역,,,37.557521,127.176018,서울교통공사,서울특별시 강동구 고덕로 지하456(강일동),02-6311-5611,2024-12-31
0219,강창,S2702,대구 도시철도 2호선,Gangchang,江倉,일반역,,,35.8531116,128.4789997,대구교통공사,달서구 달구벌대로 지하1014 (호산동),053-585-0660,2025-03-31
1326,강촌역,I41K2,경춘선,Gangchon,江 村,일반역,,,37.805728,127.634054,한국철도공사,강원도 춘춘시 남산면 강촌로 150(방곡리 409),1588-7788,2025-04-08
0223,개금,S2602,부산 도시철도 2호선,Gaegeum,開琴,일반역,,,35.15325,129.02056,부산광역시 부산교통공사,부산광역시 부산진구 가야대로 지하 442,051-678-6223,2022-11-30
P553,개롱,S1105,5호선,Gaerong,開籠,일반역,,,37.498097,127.134817,서울교통공사,서울특별시 송파구 오금로 지하402(가락동),02-6311-5581,2024-12-31
1801,개봉역,I1101,경인선,Gaebong,開峰,일반역,,,37.494698,126.858504,한국철도공사,서울시 구로구 경인로 40길 47,1588-7788,2025-04-08
8022,개운포역,I26K6,동해선,Gaeunpo,開雲浦,일반역,,,35.507884,129.321097,한국철도공사,울산시 남구 상개리 97-1,1588-7788,2025-04-08
1027,개포동역,I4105,분당선,Gaepo-dong,開 浦 洞,일반역,,,37.489112,127.066027,한국철도공사,서울시 강남구 개포동 지하 420(개포동),1588-7788,2025-04-08
4101,개화,S1109,서울 도시철도 9호선,Gaehwa,開花,일반역,,,37.578591,126.797833,서울특별시 서울시메트로9호선㈜,서울특별시 강서구 개화동로8길 19,02-2656-0901,2024-02-29
0511,개화산,S1105,5호선,Gaehwasan,開花山,일반역,,,37.572458,126.806838,서울교통공사,서울특별시 강서구 양천로 22(방화동),02-6311-5111,2024-12-31
P554,거여,S1105,5호선,Geoyeo,巨余,일반역,,,37.493208,127.143983,서울교통공사,서울특별시 송파구 오금로 지하499(거여동),02-6311-5591,2024-12-31
0306,거제,S2603,부산 도시철도 3호선,Geoje,巨堤,환승역,S2603+I26K6,부산 도시철도 3호선+동해선,35.18858,129.07394,부산광역시 부산교통공사,부산광역시 연제구 월드컵대로 지하 209,051-678-6306,2022-11-30
8003,거제역,I26K6,동해선,Geoje,巨 堤,환승역,S2603,부산 도시철도 3호선,35.18958,129.074385,한국철도공사,부산광역시 연제구 거제동 419-2,1588-7788,2025-04-08
8002,거제해맞이역,I26K6,동해선,Geojehaemaji,巨堤해맞이,일반역,,,35.181197,129.069015,한국철도공사,부산광역시 연제구 거제동 619-1,1588-7788,2025-04-08
0212,건대입구,S1102,2호선,Konkuk Univ.,建大入口,환승역,S1107,수도권  도시철도 7호선,37.540408,127.069231,서울교통공사,서울특별시 광진구 아차산로 243(화양동),02-6110-2121,2024-12-31
0727,건대입구,S1107,7호선,Konkuk Univ.,建大入口,환승역,S1102,수도권  도시철도 2호선,37.540882,127.071103,서울교통공사,서울특별시 광진구 능동로 지하110(화양동),02-6311-7271,2024-12-31
0332,건들바위,S2703,대구 도시철도 3호선,Geondeulbawi,한자가없음,일반역,,,35.85538252,128.5996903,대구교통공사, 남구 명덕로 260(이천동),053-640-7581,2025-03-31
G105,걸포북변역,L41G1,김포도시철도,Geolpo Bukbyeon ,傑浦北邊,일반역,,,37.631639,126.70575,김포골드라인에스알에스㈜,경기도 김포시 김포대로 지하 1040,031-8048-1750,2024.12.18
3203,검단사거리,S2802,인천지하철 2호선,Geomdan Sageori,黔丹十字路口,일반역,-,-,37.601693,126.656545,인천교통공사,인천광역시 서구 검단로 473 (왕길동),032-451-4303,2022-04-30
3201,검단오류,S2802,인천지하철 2호선,Geomdan Oryu,黔丹梧柳,일반역,-,-,37.5950162,126.62801,인천교통공사,인천광역시 서구 검단로 187 (오류동),032-451-4301,2022-04-30
